Texto_limpo,Classificacao
mídia press release from business wire consumer technology estado de minas,Neutro
mídia press release from business wire digital living network alliance estado de minas,Neutro
mídia press release from business wire ibc estado de minas,Neutro
minas postos dos sine oferecem mais de 1500 vagas de emprego no estado trabalho emprego mg oportunidades,Neutro
minas vai dobrar oferta de trabalho e estudo nos presídios do estado,Positivo
minas vai dobrar oferta de trabalho e estudo nos presídios do estado,Positivo
mortalidade por câncer cai 25 em 25 anos nos estados unidos estado de minas,Neutro
musicagratis fundação hospitalar do estado de minas gerais fhemig a fundação hospitalar,Neutro
musicagratis ministério público de minas gerais araxá o ministério público do estado de,Neutro
musicagratis prefeitura de rodeiro a prefeitura de rodeiro no estado de minas gerais,Neutro
noticiasdorenan em calamidade financeira governo de mg compra dois helicópteros o,Negativo
noticiasdorenan governo de minas gerais reconhece folias de reis como patrimônio imaterial,Neutro
noticiasdorenan uso de depósitos judiciais pelo governo tem nova polêmica em mg o banco,Negativo
operacaobetalab timbeta beta betalab betaajudabeta betaseguebeta uol desastre ambiental em mg empresas ped,Neutro
operacaobetalab timbeta beta betalab betaajudabeta betaseguebeta uol governo em calamidade financeira bb a,Neutro
operacaobetalab timbeta beta betalab betaajudabeta betaseguebeta uol polêmica com filho de pimentel govern,Neutro
operacaobetalab bb avisa justiça que governo de mg não tem recursos em conta judicial rt sdv,Negativo
pedromotta visita as memórias da infância na série frutosestranhos da exposição estadodanatureza visite,Neutro
petralha no governo é isso ai mesmo em calamidade financeira governo de mg compra mais dois helicópteros,Negativo
pmdb pt tj tjmg almg psdb pdt o filho achou o outro velho em calamidade financeira mg compra 2 helicópteros,Negativo
préhospitalar homem estado alterado de consciência dificuldade respiratória pressão elevada em supermercado no b são benedito av brasilia,Neutro
pt pmdb pdt tj tjmg stf almg pp mais uma dele bb cobra de minas r 15 bilhão em depósitos judiciais,Negativo
road trip mg car gopro governador valadares minas gerais,Neutro
somostodosmoro presidente do stj mantém preso exsubsecretário da gestão kassab politica estado de minas,Neutro
supercluster oracle secretaria de estado da fazenda in belo horizonte mg,Neutro
sus minas gerais recebe recurso máximo disponibilizado pelo governo federal para ações da vigilânciasanitária,Positivo
sus sesmg convoca coletiva para falar da situação da febreamarela no estado,Neutro
sus sesmg convoca coletiva para falar da situação da febreamarela no estado,Neutro
timbeta globo após ser agredida mulher atira contra homem em governador valadares operacaobetalab sigodevolta,Neutro
timbeta globo bb cobra restituição de recursos por parte do governo de mg estado afirma que instituição criou artifício contábil,Negativo
timbeta globo corpo em estado de decomposição é encontrado em poços de caldas mg operacaobetalab sigodevolta,Neutro
timbeta globo defesa civil de mg confirma 16 morte pela chuva no estado operacaobetalab sigodevolta,Neutro
timbeta globo governador valadares registra dois assassinatos em menos de uma hora operacaobetalab sigodevolta,Neutro
timbeta globo homem é morto a tiros após deixar presídio em governador valadares operacaobetalab sigodevolta,Neutro
timbeta globo mg é o quarto estado a garantir o direito à amamentação em público operacaobetalab sigodevolta,Neutro
timbeta globo pm apreende armas usadas em homicídio em governador valadares operacaobetalab sigodevolta,Neutro
timbeta globo polícia militar apreende 30 kg de maconha em governador valadares operacaobetalab sigodevolta,Neutro
timbeta globo prefeito de aimorés decreta estado de emergência administrativa operacaobetalab sigodevolta,Negativo
timbeta globo prefeito de ribeirão das neves decreta estado de calamidade financeira operacaobetalab sigodevol,Negativo
timbeta globo prefeitura de uberlândia decreta estado de calamidade financeira operacaobetalab sigodevolta,Negativo
timbeta globo ufjf abre 62 vagas para cursos em governador valadares operacaobetalab sigodevolta,Neutro
timbeta globo vereadores de governador valadares não terão 13 salário em 2017 operacaobetalab sigodevolta,Neutro
mg y con tu apellido tiro un estado,Neutro
fajuta nobreza petista tetas desfruta frente um povo à míngua flash,Neutro
não sabia que o estado de minas existia em 1926 amigoe detalheisso só apareceu depois de 2011 rs,Neutro
em minas ta seu cu kkkkkk estou no mesmo estado q você palhaço,Neutro
também não acreditei o estado de minas pulicou que estão estudando implantar uma unidade,Negativo
já é o pior governador da história de minas,Negativo
parabéns vc emplacou o release no estadão folha o globo isto é e veja na próxima vez consiga sptv estado de minas,Neutro
minas está linda recheada de mineiros e mineiras gente boa o problema é o governo de mg,Negativo
estado de minas melhorando a manchete tb só não falou que eram negros mas mencionou a motivação política,Neutro
acho que não 4 de sp 4 do rj 3 de mg 3 do rs e 3 do es todos se enfrentavam e o melhor de cada estado passava pras semis,Neutro
quero ver a desculpa quando ele ganhar uma boquinha no governo de minas,Negativo
e tem mais essa,Neutro
espero que você seja o próximo governador das minas geraes,Neutro
sou de minas flamenguista e é triste muito triste ver o maior palco do futebol neste estado,Neutro
se der manda um abraço para os palmeirenses aqui de governador valadares mg antero,Neutro
estou em outro estado comprei durante as férias em mg,Neutro
y tiene 7 mg este estado que nadie se venga a hacer la inocente,Neutro
justamente isso morreu bandido é indenizado enquanto isso os inocentes estão sem aparo do governo,Neutro
eu sou do interior de mg mas minha cidade faz divisa com o estado de sp o mais perto que eu conheço aqui é o breno,Neutro
o governo de minas dá ate estojosocorro,Neutro
y patea con las 2 patas además el wueon es zurdos con todas las minas buenas q a estado se le va el gusto atrás,Neutro
risco de calote de estados com a união cresce politica estado de minas,Negativo
bom dia professorestou aqui em governador valadaresmg assistindo o melhor professor você abracoooo taynnara,Neutro
o aécio quando governador de minas fez mais de 1200 viagens para ir a praia no rio de janeiro cadê a indignação,Neutro
e em minas governador usa helicóptero do governo para buscar filho em festa,Negativo
isso tudo é um absurdo legal mesmo é isso aqui,Neutro
então qual é o governador das minas gerais,Neutro
concordo plenamente já trabalhei no governo de mg e vi isso de perto,Negativo
q era 700 mg mas no de ahi c cortaba mis megas como a estado ocurriendo inclusive los 1ero meses no tube megas,Neutro
andar con minas no pelotudo pagarlas con guita del estado sí,Neutro
e discutem retomada do convênio para construção da barragem do jequitaí veja,Neutro
boa tarde consulado do galo de governador valadaresmg ajude a divulgar obrigalo,Neutro
praticamente hahah uma parte da minha família é de mg pra mim é o melhor estado p passear no brasil,Neutro
ele ja saiu seu mineiro filha da puta menor de minas chupaaa estado de merda só tem lixo nessa porra,Negativo
newton cardoso junior é da pior estirpe de politicos mineiros um golpista e desonesto herança do pai exgovernador de minas,Negativo
,Neutro
antes ou depois de o governo de mg comprar 2 helicópteros,Negativo
vão se apaixonar pelo melhor estado do brasil e pelo maior de mg sejam bem vindos a bh cruzeirosempre maiordeminas,Neutro
aí em mg ta td bem pimentel cada dia fazendo melhor para o estado né ainda bem q o doria é prefeito de sp e nao bh,Positivo
a internet ta ruim no estado de mg,Neutro
estou hahahaha mas trabalho mais pro impresso estado de minas,Neutro
kkkk mineirao e do governo de minas aí joga no indepencia pq torcida só enche caixa de fósforo,Neutro
clindomicinapastilla300 mg municipio sucre petateestado miranda caracas,Neutro
busco en valencia estado carabobo somazina pastilla 500 mg contacto 04162571719 04124011533,Neutro
buenas tardes para saber si hay disponible abretia o strattera de 10 o 18 mg en la sucursal del estado laragracias,Neutro
ayuda hoy es una nia con meningitis maana puede ser cualquiera su estado es grave x falta d medicamento aciclovir 500 mg,Neutro
mg o estado da idade do ferro e sua capital,Neutro
vão cobrir isto,Neutro
ninguno a decir verdad he estado con minas peores,Neutro
em mg a criminalidade aumentou com o pt,Negativo
já visitou o estado de mg se sim o que achou,Neutro
é apenas uma proposta pelo reserva do fred tá caro não é a compra do estado de minas tchê tchê moisés,Neutro
bueno ese mg no ha estado nada mal lool omgggggracias flowiiii,Neutro
e daí o palhaço de minas voou trocentas vezes no helicóptero do estado para namorar em florianópolis e a imprensa não deu um pio,Negativo
esse lixo petista quebrou o estado de minas gerais mais uma vez seu lugar é um só,Negativo
vão eleger novos prefeitos e vereadores para o colegiado executivo e avançar na participação popular,Neutro
william não tem mais clima para prosseguir no maior time do estado de minas gerais fora william,Neutro
o complicado é isso desse jeito nunca teremos uma terceira quarta força no estado não da pros clubes do interior investir,Neutro
incorreto no socialismo a elite nunca se fode o estado fede,Neutro
se minas tivesse mar esse estado ia ser o paraíso hahaha,Neutro
boa noite governador gostaria de um emprego trabalho na área da indústria meu governador pt minas gerais,Neutro
tu estás em mg há uma zona de baixa pressão em cima do estado que impede a formação de nuvens,Neutro
sp é realmente fascinantetem vários contrastesmas minas é um estado bom tbmalias o brasil é um belo paisso q mau adm,Neutro
com um governador desse qualquer corrupto vai querer ser candidato em mg até as facções do lula bêbado,Negativo
estado de minas bunitão chegados do aécio,Neutro
minas gerais estado do pão de queij,Neutro
vc e de qual estado de minas so para saber mesmo se pa e meu vizinho,Neutro
i5gornascimento governador valadares registra dois assassinatos em menos de uma hora,Neutro
i5gornascimento ufjf abre 62 vagas para cursos em governador valadares,Neutro
i5gornascimento governador valadares registra dois assassinatos em menos de,Neutro
i5gornascimento ufjf abre 62 vagas para cursos em governador valadares,Neutro
o melhor queijo do mundo é daqui do brasil mais exatamente do estado de minas gerais,Neutro
bando do brasil é o partido do governador de mg,Negativo
buenos días tienen stalevo de 100 mg vivo en el estado nueva espsrta,Neutro
pelo menos 1 coisa p se orgulhar do governo de minas esse tem q ser o modelo recuperar o cidadão,Positivo
por favor nos ajude a pizza pimentel aqui em mg é o maior cabide de empregos do meu estado minha mãe coitada nem cheiro 13 s,Negativo
cuando vi tu nombre como ganador del eurologo me sonaste mucho tras 3 días me doy cuenta de que me has estado dando mg en insta,Neutro
conheço bem as apacs de quando trabalhei no governo de mg,Neutro
olá podemos usar a sua foto no jornal estado de minas obrigada,Neutro
isso joão contamos com vcs pra derrotar esses bandidos q estão no poder lugar de bandido é na cadeia n no governo de mg,Negativo
mejor eswue estado unos días sin conectarme por estudiar y aunque siempre intento darte mg y comentar un besoo,Neutro
por favor comentem a compra de dois helicópteros pelo governo de minas gerais e uso do helicópteros por pimentel,Neutro
governo federal com cartão de créditogoverno de mg passeando e comprando helicópteros até onde,Negativo
o quando precisar dar um passeio ele pode pedir emprestado o helicóptero emprestado do governador de mg,Negativo
los abusos aun en el estado mas sólido son minas sordas que tarde o temprano estallan,Neutro
teambts confieso que me da pena que mi ex me haya cambiado altiro con varias minas y yo ni siquiera he estado con otro,Neutro
e o estado com as finanças no vermelho e o resto da era pt acabando com mg,Negativo
teria como doar sangue pra ele morando em outro estado eu sou de minas e gostaria de ajudar,Neutro
olá kelly somos do estado do paraná mas o serviço 181 está em minas gerais também ligue 181 e denuncie,Neutro
aqui em minas nenhum dos grandes portais itatiaia superesportes estado de minas noticia isso até os setoristas desconhecem,Neutro
aja si y por eso le diste mg a su estado para que te mande preguntas al chat basta no puedo,Neutro
sinto muito existem outras prioridades o governador de minas precisa transportar seus pimpolhos,Negativo
qual sua principal meta pra 2017 que deus te abençoe cada dia mais volta pra governador valadaresmg hahah,Neutro
buenos días me pueden informar si hay stalevo de 100 mg en locatel la limpia estado zulia,Neutro
anuncia no estado de minas o bcta kkkkkkk,Neutro
mira no me quiero ni imaginar ese estado así mg,Neutro
eu fico meio pistola porque minas é o estado que mais produz café porém o melhor vai pro exterior e aqui do msm custa absurdos,Neutro
mg tengo que ser sirvienta tuya hasta 2018 por mi estado,Neutro
amm que le pones mg a mo estado el finde hagamos algo asi te despedimos dspea te vamos a extraarrr,Neutro
minas já sabe bem o que é ter um governador aspirador de pó,Negativo
em mg e spo estado tem razoável controle sobre o sistema prisionalc órgãos d adimnistração penitenciária bem estruturados,Positivo
mg melhor estado,Positivo
vc viu o governador de minas que foi buscar o filho de helicóptero do governo isso é república,Negativo
a mi mg tu vídeo qsyo yo no lo relacione con tu estado de ánimo lo vi medio realista eso le da el toke de queda ahr,Neutro
paco roig en estado puro manolo jajaja me rio por no llorar,Neutro
é,Neutro
he estado en conciertos dnd las minas son una empujando y pegando pero no dale con el prejuicio que,Neutro
só lembrando que este crápulamesmo com todo o apoio da mídia e dessas eleições controladasnão venceu em mg estado dele,Neutro
segura q no es el estado quien les cede la explotación d las minas a cambio d parte de la producción,Neutro
donde viste esa mierda bryana es la más agradable de las minas que han estado con 5sos,Neutro
buenos días tienen stalevo de 100 mg vivo en el estado nueva esparta con urgencia,Neutro
10 horas antes borraste mi estado sacaste nuestra foto de todos ladosy le diste mg a una zorra,Neutro
esses sim precisam de indenizaçao do governo,Neutro
não tem que perdoar a divida se tem tanto dinheiro para helicoptero,Negativo
apoia o governo corrupto do fernando pimentel em mg apóia que use helicóptero para buscar filho em balada,Negativo
apoia que pimentel ignore a falência do estado de mg e compre mais helicópteros pra passear forapimentelmg,Negativo
e o governador de mg comprar helicópteros pode né basta ser petista,Negativo
não sabem nada nem se há crise mesmo nos estadospelo jeito não em mg o governo esbanja,Negativo
non basta cambiare canale bisogna cambiare ennesimo governo abusivo e soprattutto politici arroganti,Neutro
minas foi governada de 2003 a 2014 pelo psdb e você quer fazer acreditar que pimentel faliu o estado,Positivo
esse sotaque de minas seu melhor estado não é msm amo,Neutro
no puedo decidirme por eso di mg y rt mi infancia sin alguno de los dos hubiera estado incompleta,Neutro
salveem mg ta do mesmo estado,Neutro
se você mora em água doce do nortees as capela mais próximas ficam em governador valadaresmg e nova venéciaes,Neutro
participou junto com a anta dilmês de terrorismo no brasil hoje infelizmente o povo de minas o elegeu governador,Negativo
agora aguentem mas não podemos esquecer que ele declarou estado de emergência em minas e vejam a hipocrisia desse safado,Negativo
aproximadamente r 15 bilhão para o pagamento de resgates dos depósitos judiciais sumiram das contas do g,Negativo
crise que minas gerais enfrenta e antes declarou estado de emergência em minas gerais o cara é pilantra e comunista terrorista,Negativo
que o rj fiquem espertos esse safado já deveria estar fora do governo de minas mas graças ao covarde e safado do teori do stf,Negativo
presidente do senado esnoba justiça governador minas passa mão em contas judiciais a democracia dos heróis contra ditadura,Negativo
segue o causador da nota,Neutro
vou te dar uma dica não vai mais pra bh fazer show vai pra governador valadares mg que vai dar certo cola que é sucesso,Neutro
porq vc não pensou em fazer faculdade aqui em mg ou mais pertinho do meu estado,Neutro
vão cobrir isto,Neutro
deve ser por isso que o governo de minas comprou 2 helicópteros,Negativo
pq minas tem produzido tanta merda na politica ultimamenteisso envergonha todo estado nao só o babaca que foi eleito,Negativo
professor mande um abraço pra turma de governador valadares mg,Neutro
estado em q ironicamente os pedágios eram mt mais caro q os de minas,Neutro
vcs bebem o povo passando fome e vcs fazendo merda desta,Negativo
mesmo em calamidade financeira governo de mg compra mais dois helicópteros acordaminas,Negativo
polícia indicia governador de mg fernando pimentel do pt por corrupção e mais três crimes,Negativo
olhar para os bairros tem tudo pra ser o futuro governador de minas,Neutro
provavelmente é mano muda de estado pra estadotipo em mg skol é ruim e brahma é boa aqui é o contrário disso,Neutro
amigo quero muito estou completamente apaixonada pelo grande estado de mg,Neutro
pato branco minas geraisdesculpa eu sou tipo priscila e yudi se eu ouvir nome de cidade tenho que falar o estado,Neutro
e vcs por terem escolhido uma múmia para concorrer ao governo de minas na última eleição são coresponsáveis salarioem3x,Negativo
qualquer 1 tem mais brasileiro q o alt mineiro ate o bahia se trocasse de estado com o cruzeiro bahia seria o maior de minas,Neutro
não é a realidade de todas mas mg df go dentre outros são totalmente diferentes de um estado p outro,Neutro
leio o estado de minas impresso quase todo dia domingo é certoler jornal é gostoso demais,Neutro
as frangas piram com nossa marca maior de minas chupa terceira torcida do estado todos sabem fla é a segunda de minas,Neutro
se solicita herceptin de 440 mg para paciente mariana reinoza estado merida,Neutro
buenos días requiero paroxetina o fluoxetina de 20 mg o prozac en valencia estado carabobo agradecida de antemano,Neutro
fora em mg que tem o licenciamento que é ilegal e o poder federal não age contra esse abuso do governo estadual,Negativo
estado rjsulmg parece quase um brasileirão né,Neutro
o governo de minas não relatou ao federalsó dpois q deu merda,Negativo
você quer que deixe nas mãos do estado para morrer mais,Neutro
pergunta inocenteafinal quem ainda continua segurando esse pilantra no governo de mgpalmaresstelagenuínosa,Negativo
governador valadares mg,Neutro
ningém faz nada em calamidade financeira governo de mg compra dois helicópteros via com,Negativo
como sabía que ibas a dar mg a ese tweet sabes que he estado a punto de mencionarte en él simbiosis de primas everywhere,Neutro
minas que estão legais um governador que foi terrorista pronto pra ser preso pena que o stf não deixa,Negativo
ms afinal quem ainda está segurando esse descendente de palmares no governo de mgmesma turma d stelagenuíno,Negativo
bem vindo ao maior de minas aqui despontou ronaldo fenômeno e o clube com mais troféus do estado,Neutro
seja bem vindo ao maior clube de futebol do estado de minas gerais sucesso,Neutro
vs que pensam o pt ta quietinho porque aprontando já chega o governador de minas,Negativo
o governador de mg é de esquerda sério,Negativo
isso é um absurdo o dinheiro deve estar sobrando,Negativo
minas é o melhor estado,Neutro
risco de calote de estados com a união cresce politica estado de minas,Neutro
agora o foco de todos os focos é o governo de minas que não por acaso é do pt,Negativo
esses r 218 milhões não poderiam ser investidos na saúde e educação do estado de mg,Negativo
quem será q ainda segura esse elemento como governador de minasonde ele já deveria estarpq ainda está solto,Negativo
jajajajajajajajajajajajajaa me copie de un estado que mg pero nqv bebe,Neutro
governador valadares leste de minas,Neutro
que absurdo estado de mg quebrado,Negativo
corrupção benjamin netanyahu se diz inocente após acusações de corrupção estado de minas,Neutro
corrupção mais de um milhão de pessoas punidas por corrupção na china estado de minas,Neutro
governador valadares minas gerais,Neutro
0501dia da fundação do município brasileiro de grão mogolestado de minas geraisdia da fundação do município,Neutro
06011999 o governador de minas gerais itamar franco pmdb decretou a moratória de seu estado durante,Neutro
0701dia da fundação do município brasileiro de carangolaestado de minas geraisdia da fundação do município,Neutro
08011963 é adaptada a bandeira do estado de minas gerais,Neutro
1 ontem eu encontrei um amigo que está no governo de minas pedro o q vc acha da comunicação do governo e do governador medíocre,Neutro
100 correto o fernando esperem entretanto quando cf negar o mesmo arrego a mg a atualização da narrativa foi,Neutro
102 mg en un estado no lo puedo creer,Neutro
14 mrortos em minas gerais com a alta incidência a secretaria de estado de saúde mantém alerta para moradores e,Neutro
15h05atualização carroxcarro br 381 bom destino sta luzia acidente envolveu 5 carros 3 víts estado grave 2 víts ferimentos leves,Neutro
2 mg nomás tubo mi estado jaja,Neutro
2 vc só percebe isso quando passa anos morando em um estado como mg onde o povo é discreto e não metido a besta,Neutro
4 jovens negros tortura deficiente mental por ser branco e eleitor do trump internacional estado de minas,Neutro
4 hailey tem uma tatuagem escrita minas gerais estado em que sua avó nasceu,Neutro
50 indirectas por fb y y no ella le pone mg al estado del bobito ese,Neutro
59 escolha um estado rj sp mg rs,Neutro
69 una de las pocas minas que a estado para mi te quiero pichona,Neutro
a cruzeirense e o são destaque do caderno de tv do estado de minas deste doming,Neutro
a de minas gerais chamou de preocupante o fato de o estado ter esgotado os recursos relativos a depósitos judiciais,Negativo
a alemanha é menor do que o estado de minas gerais e mesmo assim é mais rica do que o brasil inteiropso que uma boa administração faz,Neutro
a balada de pimentel governador de mg atrasa salários mas abusa de mordomias,Negativo
a balada de pimentel governador de mg atrasa salários mas abusa de mordomias,Negativo
a balada de pimentel governador de mg atrasa salários mas abusa de mordomias,Negativo
a balada de pimentel governador de mg atrasa salários mas abusa de mordomias,Negativo
a balada de pimentel governador de mg atrasa salários mas abusa de mordomias,Negativo
a cidade de pará de minas é o melhor lugar do mundo tem as coisas que eu mais gosto nessa vida em seu nome o estado de mg e o jogador pará,Neutro
a codevasf e o governo do estado de minas gerais uniram novos esforços para a retomada do convênio que irá,Positivo
a continuação da treta o estado de mg foi ao stf contra o banco argumentando existência de manobra fiscal,Negativo
a convite do carlos marcelo carvalho publiquei no estado de minas de 16 de dezembro um artigo crônica,Neutro
a democracia do pt escondese os mal feitos daí não há mais mal feitos,Neutro
a fórmula do fracassoo governo petista de fernando pimentel já está entre os piores da história do estado de mina,Negativo
a foto não seria a dos governadores anastazia e aécio via,Neutro
a inconsequência de quem governa minas gerais hoje,Negativo
a matéria que se segue foi publicada no jornal estado de minas no dia 16 de dezembro de 2017 é um perfil do,Neutro
a partir do mês que o governo de minas de saber como está sendo assim teambts,Neutro
a pressão e marcação cerrada da polícia militar de mg contra o governo pimentel pt merece uma investigação,Negativo
a primeira turnê do ano começa no estado de minas gerais e vcs estão todos convidados,Neutro
a primeira turnê do ano começa no estado de minas gerais e vcs estão todos convidados,Neutro
a punto he estado de soltar un mg al stalkear tranquilidad chicos estoy bien ya ha pasado,Neutro
a questão do ipva no estado de são paulo está séria e em minas está tudo bem vejam que vídeo curioso,Positivo
a secretaria de estado de cultura de mg recebe sugestões sobre a lei estadual de incentivo à cultura saiba mais,Positivo
a secretaria de estado de cultura de mg recebe sugestões sobre a lei estadual de incentivo à cultura saiba mais,Positivo
a secretaria de estado de saúde de minas gerais sesmg fez o lançamento da campanha de enfrentamento ao aedes,Positivo
a todos los que le dieron mg a mi estado sigan esperando nomas que les hable porque nunca le hablo a nadie jaja ya tendrian que saber chhe,Neutro
a yris é burra pra caralho não sabe nem do estado q ela mora eu q sou do rj tive que estudar sobre mg,Neutro
abimaq mudanças do bndes são boas mas não têm força para retomar investimento economia estado de minas,Neutro
abimaq mudanças do bndes são boas mas não têm força para retomar investimento estado de minas,Neutro
absurdo um verdadeiro assalto aos cofres do judiciário proximo alvo ja to vendoos cofres da previdencia,Negativo
acabo de leer que un estúpido puso que las minas quedan embarazadas por usar forros del estado si te los da es para que no quedes,Neutro
